Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Spalte7,Spalte8,Spalte9,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE,Zyklus,Nachorder?
X6830474,Bar Ends STANDARD,JA,4250589416396,115970000,T062,MC,K1338,Pending System GmbH & Co. KG,TZB,Bar Ends,RFR,M000056772,Black,24,90 MM,UN,,,0,,,,4,,,1,,,,,2025-11-26,9.072,8.463333,,,0,0,,45.37,,2022-04-13,21.99,24.95,0.118637,2.4,MC-A-NOS,21.99,24.95,Active,0
X6830481,Pedale Flat HQP CMPT,Nein/Nur in der Filiale Verfügbar,4250589444566,141290000,T021,MC,K1338,Pending System GmbH & Co. KG,TZB,Pedale Standard,RFR,M000102451,Black,25,112x77 mm,UN,,,0,1,,,1,1,,,,,,,2025-02-12,5.44,5.440899,3.81,-1.63,0,0,-0.427822,10.89,,2022-04-13,12.99,14.95,0.131104,2.4,MC-AUSLAUF,12.99,12.99,Active,0
X6830483,Pedale Flat HQP CMPT,JA,4250589444580,141780000,T021,MC,K1338,Pending System GmbH & Co. KG,TZB,Pedale Standard,RFR,M000102451,RED,25,112x77 mm,UN,,,0,,,,3,,,,,,,,2026-02-04,5.44,5.442,,,0,0,,16.32,,2022-04-13,12.99,14.95,0.131104,2.4,MC-A-NOS,12.99,12.99,Active,0
X6830487,Pedale Flat SLT 2.0,Nein/Nur in der Filiale Verfügbar,4054571162564,143780000,T021,MC,K1338,Pending System GmbH & Co. KG,TZB,Pedale Standard,RFR,M000056782,grey´n´black,24,98x100 mm,UN,,,0,,,,2,,,,,,,,2024-04-23,21.138,20.875783,,,0,0,,42.07,,2022-04-13,45.99,64.95,0.291917,2.2,MC-AUSLAUF,45.99,64.95,Active,0
X6830488,Pedale Flat SLT 2.0,Nein/Nur in der Filiale Verfügbar,4054571162595,143810000,T021,MC,K1338,Pending System GmbH & Co. KG,TZB,Pedale Standard,RFR,M000102453,grey´n´orange,25,98x100 mm,UN,,,0,,,,1,,,,,,,,2024-08-07,20.8,20.592972,,,0,0,,20.8,,2022-04-13,45.99,64.95,0.291917,2.2,MC-AUSLAUF,45.99,64.95,Active,0
X6830490,Pedale Flat Urban HPA,Nein/Nur in der Filiale Verfügbar,4250589488447,143640000,T021,MC,K1338,Pending System GmbH & Co. KG,TZB,Pedale Standard,RFR,M000056783,Black,24,84x74 mm,UN,,,0,,,,1,,,,,,,,2024-07-10,18.16,17.786122,,,0,0,,18.16,,2022-04-13,41.99,49.95,0.159359,2.3,MC-AUSLAUF,41.99,49.95,Active,0
X6830498,Sattelüberzug TREKKING/CITY mit Gel,JA,4250589429570,115190000,T107,MC,K1338,Pending System GmbH & Co. KG,TZB,Sattelüberzüge,RFR,M000056793,Black,25,254-280x203-244 mm,UN,,,0,,,,18,,,,,,,,2024-08-07,7.256,6.890667,,,0,0,,128.25,,2022-05-12,19.95,19.95,0,2.7,MC-C-NOS,19.95,19.95,Active,0
X6830502,verstellbare Bar Ends TREKKING,JA,4250589416419,115950000,T062,MC,K1338,Pending System GmbH & Co. KG,TZB,Bar Ends,RFR,M000056773,Black,24,185 MM,UN,,,0,,,,8,,,,,,,,2025-11-26,9.064,9.066333,,,0,0,,72.52,,2022-04-13,21.99,24.95,0.118637,2.4,MC-A-NOS,21.99,24.95,Active,0
X6830670,Lowrider Duo - 26-28 Zoll,JA,4036823921037,961120,T092,Marco,K1328,CCM-Sport GmbH,TZB,Gepäckträger,TUBUS,M000084766,schwarz,26,26-28 Zoll,UN,,,0,,,,11,,,,,,,,2025-12-10,39.793,40.455143,,,0,0,,481.47,,2024-02-29,61.99,89.9,0.310456,1.6,"MP-1,55-0126",61.99,61.99,Active,0
X6831403,Anuky 2.0 ACE,Nein/Nur in der Filiale Verfügbar,4003318405358,40535,B111,PW,K1043,Abus August Bremicker Söhne KG,Bekleidung,Helm Standard,ABUS,M000086071,color wave,24,46-52 cm (S),UN,,,0,,,,0,,,,,,,,2022-03-16,16,16,,,0,0,,32,,2022-04-06,19.99,49.95,0.5998,1.2,PW-BF Auslauf-KW46,19.99,19.99,Active,0
X6831406,"EP-2 Trekking Pedale 9/16""",JA,4016538105663,07360530,T021,MC,K1127,Hermann Hartje KG,TZB,Pedale Standard,ERGOTEC,M000089130,schwarz,25,122x103 mm,UN,,,0,,,,13,,,,,,,,2025-03-06,22.306,22.878,,,0,0,,295.55,,2024-07-01,34.99,57.95,0.396204,1.6,MC-AUSLAUF,34.99,34.99,Active,0
X6831409,Edge 1040,JA,753759279684,010-02503-01,Z034,MC,K1730,Garmin Deutschland GmbH,TZB,Navigation,GARMIN,M000057089,schwarz,26,OSZ,UN,,,0,,,,3,,,2,,,,,2026-03-09,301.99,374.950551,,,0,0,,1509.95,,2022-06-23,399.99,529.99,0.245288,1.3,MC-NEW,529.99,529.99,Active,0
X6831412,Varia RCT716 Akku Rücklicht mit Radar + Kamera StVZO,JA,753759279820,Z039-000707,T114,CC,K1318,Fahrrad XXL Feld GmbH,TZB,Batteriebeleuchtung,GARMIN,M000057090,schwarz,26,OSZ,UN,,,0,,,,5,,,,,,,,2026-03-09,224.58,261.287317,,,0,0,,1122.9,,2022-07-12,349.99,399.99,0.125003,1.6,MC-NEW,399.99,399.99,Active,0
X6831478,Leffingwell Black Ink/Prizm Grey,JA,888392581174,0OO9100 91000157,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057290,Black Ink,25,OSZ,UN,,,0,,,,4,,,,,,,,2026-02-21,62.18,64.535833,,,0,0,,248.72,,2022-05-12,79.99,152,0.47375,1.3,PW-Auslauf-KW51,79.99,124.99,Active,0
X6831479,Leffingwell Matte Sepia/Prizm Jade,JA,888392581198,0OO9100 91000357,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057291,matte sepia,25,OSZ,UN,,,0,,,,7,,,,,,,,2026-02-21,66.27625,67.345952,,,0,0,,463.95,,2022-05-12,104.99,162,0.351914,1.6,PW-Renner-12,104.99,104.99,Active,0
X6831496,Sutro Polished Black/Prizm Sapphire,Nein/Nur in der Filiale Verfügbar,888392568830,0OO9406 94069037,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057315,Polished Black,25,OSZ,UN,,,0,,,,0,,,,10,2026-02-20,10,72.819,2025-11-22,72.82,53.300263,,,0,0,,0,,2023-06-05,114.99,178,0.353989,1.6,PW-B-KW46,114.99,114.99,Active,0
X6831497,EVZero Blades Polished Black - Prizm Road,JA,888392454805,OO9454-0238,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057266,Polished Black,24,OSZ,UN,,,0,,,,3,,,,,,,,2026-03-28,76.903333,76.381324,,,0,0,,307.61,,2022-05-12,119.99,180,0.333389,1.6,PW-Renner-KW32,119.99,119.99,Active,0
X6831498,EVZero Blades Steel - Prizm Sapphire,JA,888392454812,OO9454-0338,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057268,STEEL,24,OSZ,UN,,,0,,,,3,,,3,,,,,2026-03-14,76.9,75.758614,,,0,0,,536.8,,2022-05-12,114.99,180,0.361167,1.5,PW-Renner-03,114.99,114.99,Active,0
X6831502,Sutro S Polishedished Black - Prizm Ruby,JA,888392562111,OO9462-0928,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057318,Polished Black,25,OSZ,UN,,,0,,,,2,,,,,,,,2025-04-12,80.91,74.369556,,,0,0,,151.63,,2022-05-12,114.99,178,0.353989,1.4,PW-Auslauf-05,114.99,114.99,Active,0
X6831504,Sutro Lite Polishedhite - Prizm Sapphire,JA,888392568809,OO9463-1939,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057304,POLISHED WHITE,25,OSZ,UN,,,0,1,,,12,12,,1,,,,,2026-01-24,76.905,73.121515,37.68,-36.92,0,0,-0.97983,969.8,,2022-05-12,129.99,188,0.308564,1.7,PW-Renner-12,129.99,129.99,Active,0
X6831509,Sutro Lite Sweep Matte Black - Prizm Road,JA,888392530530,OO9465-0139,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057306,Matte Black,25,OSZ,UN,,,0,,,,4,,,2,,,,,2026-01-31,76.904667,74.740878,,,0,0,,461.4,,2022-05-12,129.99,188,0.308564,1.7,PW-Renner-12,129.99,129.99,Active,0
X6831510,Sutro Lite Sweep Matte Carbon - Prizm Trail Torch,JA,888392530547,OO9465-0239,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057307,Matte Carbon,24,OSZ,UN,,,0,,,,5,,,1,,,,,2026-02-21,76.905,80.891912,,,0,0,,461.08,,2022-05-24,119.99,180,0.333389,1.6,PW-Renner-KW32,119.99,119.99,Active,0
X6831511,Sutro Lite Sweep Matte Black - Prizm Black,JA,888392530554,OO9465-0339,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057305,Matte Black,24,M,UN,,,0,0,,,15,,,1,,,,,2026-01-31,76.904667,76.607791,0,0,0,0,,1309.55,1,2022-05-12,122.99,180,0.316722,1.6,PW-Penner-14,122.99,122.99,Active,0
X6831513,Sutro Lite Sweep Matte Navy - Prizm Sapphire,JA,888392530578,OO9465-0539,B131,PW,K00000891,Luxottica Germany GmbH,Bekleidung,Brille Freizeit,OAKLEY,M000057308,MATTE NAVY,25,OSZ,UN,,,0,1,,,19,19,,1,,,,,2026-01-31,76.905333,74.01632,53.83,-21.49,0,0,-0.39922,1527.1,,2022-05-12,122.99,188,0.345798,1.6,PW-Penner-14,122.99,122.99,Active,0
X6831589,Schalt-/Bremshebel GRX ST-RX810 für Scheibenbremse,JA,4550170448455,ISTRX810LI,T081,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Kettenschaltungen,SHIMANO,M000070099,schwarz,NOS,2-fach,KA,,,0,,,,5,,,,,,,,2022-12-01,134.324,134.324,,,0,0,,671.62,,2022-12-01,199.99,254.95,0.215572,1.5,MC-AUSLAUF,199.99,199.99,Active,0
X6831590,Bike Bundle II Apple iPhone 13 Pro Max,Nein/Nur in der Filiale Verfügbar,4028017544467,FA003491171,Z036,CK,K1173,Paul Lange GmbH & Co. KG,TZB,Smartphone Zubehör,SPCONNECT,M000074097,Black,24,OSZ,UN,,,0,1,,,0,0,,,,,,,2023-10-13,16.494444,20.594754,11.55,-6.58,0,0,-0.569697,0,,2023-03-30,59.99,59.99,0,3.6,CK-Auslauf,59.99,59.99,Active,0
X6831622,Plug-in-Light IV Helmrücklicht,JA,4003692295330,A9999815,B119,PW,K1040,Alpina Sports GmbH,Bekleidung,Helmzubehör,ALPINA,M000062187,transparent,24,OSZ,UN,,,0,,,,39,,,,,,,,2026-03-09,6.458667,5.685615,,,0,0,,264.58,,2024-04-10,9.99,14.95,0.331773,1.5,PW-B-KW40,9.99,14.95,Active,0
X6831651,Otocon,JA,7325549922211,PC105271036SML1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000096748,Hydrogen White Matt,25FS,51-54 cm (S),UN,,,0,,,,2,,,,,,,,2025-02-10,138,135.6075,,,0,0,,278.82,,2022-05-10,179.99,299.95,0.399933,1.3,PW-Auslauf-KW35,179.99,179.99,Active,0
X6831652,Otocon,JA,7325549922167,PC105271036MED1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000096748,Hydrogen White Matt,25FS,55-58 cm (M),UN,,,0,,,,1,,,,,,,,2025-02-10,138,132.514286,,,0,0,,138.75,,2022-04-28,179.99,299.95,0.399933,1.3,PW-Auslauf-KW35,179.99,179.99,Active,0
X6831654,Otocon,Nein/Nur in der Filiale Verfügbar,7325549922259,PC105271037SML1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000096748,Uranium Black Matt,25FS,51-54 cm (S),UN,,,0,,,,0,,,,,,,,2025-02-10,138,128.555,,,0,0,,131.08,,2022-04-28,179.99,299.95,0.399933,1.3,PW-Auslauf-KW35,179.99,179.99,Active,0
X6831655,Otocon,JA,7325549922341,PC105271589SML1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000086471,Lead Blue Matt,24HW,51-54 cm (S),UN,,,0,,,,1,,,,,,,,2025-01-31,139.5,134.4,,,0,0,,139.5,,2022-04-28,179.99,299.95,0.399933,1.3,PW-Auslauf-KW35,179.99,179.99,Active,0
X6831669,Tectal,Nein/Nur in der Filiale Verfügbar,7325549940048,PC105171589MED1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000086473,Lead Blue Matt,24HW,55-58 cm (M),UN,,,0,,,,0,,,,,,,,2022-08-22,82.8,82.8,,,0,0,,82.8,,2022-04-28,79.99,189.95,0.578889,1,PW-BF Auslauf-KW46,79.99,79.99,Active,0
X6831689,Octal MIPS,JA,7325549918924,PC108011001SML1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000096740,Hydrogen White,26FS,50-56 cm (S),UN,,,0,,,,2,,,1,,,,,2025-03-07,92,92.9244,,,0,0,,276,,2022-05-06,134.99,199.95,0.324881,1.5,PW-Auslauf-0425,134.99,134.99,Active,0
X6831692,Octal MIPS,JA,7325549918955,PC108011037SML1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000096740,Uranium Black Matt,26FS,50-56 cm (S),UN,,,0,,,,6,,,,,,,,2025-03-07,92,92.792353,,,0,0,,553.95,,2022-06-09,134.99,199.95,0.324881,1.5,PW-Auslauf-0425,134.99,134.99,Active,0
X6831694,Octal MIPS,JA,7325549918931,PC108011037LRG1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000096740,Uranium Black Matt,26FS,56-62 cm (L),UN,,,0,,,,1,,,1,,,,,2025-09-30,92,92.464545,,,0,0,,276.24,,2022-05-06,134.99,199.95,0.324881,1.5,PW-Auslauf-0425,134.99,134.99,Active,0
X6831695,Octal MIPS,JA,7325549919822,PC108011217SML1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000096740,Fluorescent Orange AVIP,26FS,50-56 cm (S),UN,,,0,,,,7,,,,,,,,2025-03-07,92,91.703333,,,0,0,,639.28,,2022-04-14,134.99,199.95,0.324881,1.5,PW-Auslauf-0425,134.99,134.99,Active,0
X6831701,Omne Air MIPS,JA,7325549931343,PC107701589SML1,B111,PW,K00000951,POC Sweden AB,Bekleidung,Helm Standard,POC,M000086467,Lead Blue Matt,24HW,50-56 cm (S),UN,,,0,,,,2,,,,,,,,2024-07-10,83.7,78.355556,,,0,0,,167.4,,2022-04-14,124.99,179.95,0.305418,1.5,PW-Auslauf-KW35,124.99,124.99,Active,0
X6831733,Rücklicht Anschlusskabel Bosch Smart System,JA,4260224791597,2123861,T119,CC,K1178,Magura Bosch Parts GmbH & Co.KG,TZB,Beleuchtung E.Teile/Zub.,SUPERNOVA,M000057652,schwarz,22,200 mm,UN,,,0,,,,4,,,2,,,,,2025-12-22,9.648,9.5599,,,0,0,,58.71,,2022-06-14,13.99,19.9,0.296985,1.5,CC: NOS-A KW52,13.99,13.99,Active,0
X6831738,Quick Rack Gepäckträger 26-28 Zoll,JA,4013051054614,F78104,T092,Marco,K1697,Ortlieb Sportartikel GmbH,TZB,Gepäckträger,ORTLIEB,M000057687,Black,26,"26"" - 28""",UN,,,0,,,,69,,,13,90,2026-04-24,30,48.229667,2026-03-25,48.84,41.049145,,,0,0,,4264.51,,2022-09-22,79.99,105,0.23819,1.6,"MP-1,75-0326",79.99,79.99,Active,0
X6831739,Quick Rack Light Gepäckträger 26-28 Zoll,JA,4013051054621,F78105,T092,Marco,K1697,Ortlieb Sportartikel GmbH,TZB,Gepäckträger,ORTLIEB,M000057688,Black,26,26-28 Zoll,UN,,,0,,,,58,,,2,30,2026-04-23,10,45.931,2026-03-25,46.512,39.925347,,,0,0,,2786.27,,2022-09-22,75.99,100,0.2401,1.6,"MP-1,75-0326",75.99,75.99,Active,0
X6831740,Quick Rack Seat Stay Adapter,JA,4013051054638,F78106,T098,Marco,K1697,Ortlieb Sportartikel GmbH,TZB,Gepäckträger/Schutzbleche E-Te,ORTLIEB,M000057689,Black,26,für Sitzstreben,UN,,,0,,,,36,,,2,,,,,2026-03-25,7.44,7.184978,,,0,0,,289.2,,2022-05-30,13.99,16,0.125625,1.9,"MP-1,9-0326",13.99,13.99,Active,0
X6831741,Seat-Pack QR Satteltasche 13L,JA,4013051054089,F9903,Z045,CK,K1697,Ortlieb Sportartikel GmbH,TZB,Packtaschen Sattel,ORTLIEB,M000057690,black matt,26,13 Liter,UN,,,0,,,,6,,,1,10,2026-05-01,5,80.374,2026-03-02,80.374,73.334474,,,0,0,,562.83,,2023-01-04,139.99,175,0.200057,1.7,"CK-1,9-1,9-3525-NOS-B",149.99,149.99,Active,0
X6831781,"Federsattelstütze G.2 - 27,2 x 350mm",JA,4251239307514,2208800310,T106,MC,K1314,E. Wiener Bike Parts GmbH,TZB,Sattelstütze gef.,BYSCHULZ,M000097094,schwarz,26,hart 100-130kg,UN,,,0,,,,1,,,,,,,,2024-12-07,103.44,103.44,,,0,0,,103.44,,2024-12-17,169.99,189.95,0.10508,1.6,MC-C-NOS,169.99,179.99,Active,0
X6831813,Sattel Respiro Athletic Journey,JA,8021890575098,FA003760063,T101,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Sattel Standard,SELLEROYAL,M000067658,schwarz,24,279x159 mm,UN,,,0,,,,3,,,1,,,,,2026-02-17,36.678,36.9225,,,0,0,,183.39,,2022-05-05,67.99,84.95,0.199647,1.9,MC-B-NOS,67.99,79.99,Active,0
X6831815,"Satteltasche 2,0 Liter",JA,8021890494979,FA003762011,Z045,CK,K1173,Paul Lange GmbH & Co. KG,TZB,Packtaschen Sattel,SELLEROYAL,M000057775,schwarz,26,"2,0 L",UN,,,0,,,,3,,,1,,,,,2025-11-11,16.638,14.0672,,,0,0,,66.35,,2022-05-05,27.99,34.95,0.199142,1.7,"CK-1,7-1,7-2025-NOS-B",27.99,27.99,Active,0
X6831816,"Satteltasche 1,2 Liter",Nein/Nur in der Filiale Verfügbar,8021890494955,FA003762010,Z045,CK,K1173,Paul Lange GmbH & Co. KG,TZB,Packtaschen Sattel,SELLEROYAL,M000057776,schwarz,26,"1,6 L",UN,,,0,,,,0,,,1,40,2026-04-07,20,11.89,2025-12-06,11.888,7.05871,,,0,0,,11.88,,2022-05-05,19.99,24.95,0.198798,1.7,"CK-1,8-2,0-2123-NOS-B",19.99,19.99,Active,0
X6831817,"Satteltasche 0,6 Liter",JA,8021890494931,FA003762009,Z045,CK,K1173,Paul Lange GmbH & Co. KG,TZB,Packtaschen Sattel,SELLEROYAL,M000057777,schwarz,26,"0,6 L",UN,,,0,,,,7,,,,,,,,2026-02-24,11.174,8.528632,,,0,0,,85.88,,2022-05-05,14.99,19.95,0.248622,1.3,"CK-1,7-1,7-NOS-C",14.99,14.99,Active,0
X6831960,Pedale 521 City,JA,4260086855734,57230-2217-900-L,T021,MC,K00001763,Boards &  More GmbH,TZB,Pedale Standard,SQ-LAB,M000074981,Black,26,long (+8 mm),UN,,,0,,,,5,,,,5,2026-04-20,5,33.7,2026-03-18,23.088,11.544,,,0,0,,115.44,,2026-03-19,59.95,59.99,0.000667,2.6,MC-AUSLAUF,47.99,59.95,Active,0
X6831972,"Gepäckträgerkorb Baskit 2.0 small, inkl. Snapit 2.0 Adapter",JA,4048174864758,2128313201,Z062,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Korb hinten,RACKTIME,M000057834,schwarz,24,20 Liter,UN,,,0,,,,11,,,,,,,,2026-03-05,23.292,20.384625,,,0,0,,254.23,,2022-04-28,37.99,49.95,0.239439,1.6,"CK-1,7-1,7-3525-NOS-A",37.99,37.99,Active,0
X6831973,"Gepäckträgerkorb Baskit Deluxe 2.0, inkl. Snapit 2.0 Adapter",JA,4048174864727,2128313251,Z062,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Korb hinten,RACKTIME,M000057831,schwarz,24,23 Liter,UN,,,0,,,,7,,,,,,,,2026-03-24,27.762,26.002222,,,0,0,,192.94,,2022-04-28,44.99,59.95,0.249541,1.6,"CK-1,8-2,0-0124-NOS-B",44.99,44.99,Active,0
X6831975,"Regenhülle für Talis, Talis Plus und Odin Taschen",JA,4048174834461,2179236972,Z048,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Regenüberzüge f. Taschen,RACKTIME,M000057841,grün,24,OSZ,UN,,,0,,,,5,,,,,,,,2026-03-16,5.182,4.910435,,,0,0,,25.91,,2022-04-28,9.95,9.95,0,1.9,"CK-1,9-1,9-NOS-C",9.95,9.95,Active,0
X6831977,"Gepäckträgertasche Talis 2.0, inkl. Snapit 2.0 Adapter",Nein/Nur in der Filiale Verfügbar,4048174865014,2179236911,Z046,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger-Koffer,RACKTIME,M000057843,schwarz/grau,24,8 Liter,UN,,,0,,,,0,,,,,,,,2022-05-01,29.952333,29.952258,,,0,0,,29.96,,2022-04-28,69.95,69.95,0,2.3,CK-UVP-UVP-AUSLAUF,69.95,69.95,Active,0
X6831979,"Gepäckträgertasche Agnetha 2.0, inkl. Snapit 2.0 Adapter",Nein/Nur in der Filiale Verfügbar,4048174864833,2179236540,Z062,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Korb hinten,RACKTIME,M000057819,schwarz,24,15 Liter,UN,,,0,,,,0,,,,,,,,2024-12-31,31.293,31.424516,,,0,0,,31.39,,2022-04-28,69.95,69.95,0,2.2,CK-UVP-UVP-AUSLAUF,69.95,69.95,Active,0
X6831981,"Gepäckträgertasche Talis Plus, inkl. Snapit Adapter",JA,4048174832139,2179236916,Z046,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger-Koffer,RACKTIME,M000057845,schwarz/grau,24,8 + 7 Liter,UN,,,0,,,,11,,,,,,,,2026-03-30,43.083333,41.537833,,,0,0,,472.87,,2022-04-28,66.99,89.95,0.255253,1.6,"CK-1,6-1,8-3724-NOS-B",66.99,66.99,Active,0
X6831982,"Gepäckträgertasche Talis Plus, inkl. Snapit Adapter",JA,4048174832153,2179236917,Z046,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger-Koffer,RACKTIME,M000057845,blau/grau,24,8 + 7 Liter,UN,,,0,,,,3,,,,,,,,2025-09-23,42.196667,41.369565,,,0,0,,126.64,,2022-04-28,66.99,89.95,0.255253,1.6,"CK-1,6-2,0-10-24-NOS-A",66.99,66.99,Active,0
X6831985,Gepäckträger Boostit 2.0,JA,4048174865328,2061501820,T092,Marco,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger,RACKTIME,M000057824,schwarz,22,29 Zoll,UN,,,0,,,,10,,,,,,,,2022-11-28,37.64,37.694815,,,0,0,,376.9,,2022-05-03,59.99,84.9,0.293404,1.6,"MP-1,6-0126",59.99,59.99,Active,0
X6831986,Gepäckträger Boostit 2.0 Tour,JA,4048174865311,2061501830,T092,Marco,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger,RACKTIME,M000057823,schwarz,22,29 Zoll,UN,,,0,,,,5,,,,,,,,2025-05-02,42.19,40.685167,,,0,0,,250.29,,2022-07-04,66.99,89.9,0.254839,1.6,"MP-1,6-0126",66.99,66.99,Active,0
X6831987,Gepäckträger Standit 2.0 - 26 Zoll,JA,4048174865281,2061500650,T092,Marco,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger,RACKTIME,M000074791,schwarz,22,26 ZOLL,UN,,,0,,,,3,,,,,,,,2023-10-12,31.754,29.1975,,,0,0,,90.88,,2022-05-18,49.99,59.9,0.165442,1.6,"MP-1,6-0126",49.99,49.99,Active,0
X6831988,Gepäckträger Lightit 2.0 Tour,JA,4048174863454,960482,T092,Marco,K1328,CCM-Sport GmbH,TZB,Gepäckträger,RACKTIME,M000057827,schwarz,26,28 ZOLL,UN,,,0,,,,37,,,2,20,2026-04-01,20,30.59,2026-03-23,31.0124,28.009,,,0,0,,1266.87,,2022-06-28,48.99,69.95,0.299643,1.6,"MP-1,6-0126",48.99,48.99,Active,0
X6831989,Gepäckträger Clipit 2.0,JA,4048174864406,960490,T092,Marco,K1328,CCM-Sport GmbH,TZB,Gepäckträger,RACKTIME,M000057825,schwarz,26,OSZ,UN,,,0,,,,10,,,,,,,,2026-01-26,30.59,31.386747,,,0,0,,308.87,,2023-02-01,48.99,69.95,0.299643,1.6,"MP-1,6-0126",48.99,48.99,Active,0
X6831990,"Gepäckträgertasche Odin, inkl. Snapit Adapter",JA,4048174849441,2179236908,Z046,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger-Koffer,RACKTIME,M000057821,schwarz,24,8 + 11 Liter,UN,,,0,1,,,11,11,,,,,,,2026-03-24,39.676,38.363571,26.81,-11.56,0,0,-0.431182,433.48,,2022-04-28,58.99,84.95,0.305592,1.5,"CK-1,5-1,5-3525-NOS-B",58.99,58.99,Active,0
X6831991,"Gepäckträgertasche Odin 2.0, inkl. Snapit 2.0 Adapter",JA,4048174864826,2179236909,Z046,CK,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger-Koffer,RACKTIME,M000057820,schwarz,24,8 + 11 Liter,UN,,,0,,,,4,,,1,,,,,2026-03-10,39.672,38.053276,,,0,0,,235.43,,2022-10-04,67.99,86.95,0.218056,1.7,"CK-1,6-1,6-3525-NOS-A",63.99,63.99,Active,0
X6831993,Gepäckträger Cargo Classic - 28 Zoll,JA,4036823110004,2063010500,T092,Marco,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger,TUBUS,M000057807,schwarz,24,28 ZOLL,UN,,,0,,,,7,,,,,,,,2024-12-11,58.65,57.988333,,,0,0,,467.48,,2022-10-04,89.99,129.9,0.307236,1.5,"MP-1,55-0126",89.99,89.99,Active,0
X6831994,Gepäckträger Disco - 28 Zoll,JA,4036823430010,2063018500,T092,Marco,K1314,E. Wiener Bike Parts GmbH,TZB,Gepäckträger,TUBUS,M000057808,schwarz,24,28 ZOLL,UN,,,0,,,,2,,,,,,,,2024-12-11,54.121,53.6964,,,0,0,,108.23,,2022-06-28,79.99,119.9,0.332861,1.5,"MP-1,55-0126",79.99,79.99,Active,0
X6831995,Gepäckträger Fly Classic - 26-28 Zoll,JA,4036823400006,961056,T092,Marco,K1328,CCM-Sport GmbH,TZB,Gepäckträger,TUBUS,M000057809,schwarz,26,26-28 Zoll,UN,,,0,,,,31,,,1,30,2026-04-01,20,39.55,2026-02-20,39.719,34.914078,,,0,0,,1303.82,,2022-06-28,67.99,89.9,0.243715,1.7,"MP-1,65-0126",67.99,67.99,Active,0
